Type, Number of Nodes, Number of Permutations, Minimum Distance
Brute Force,4,24,16.6766
Brute Force,5,120,24.702
Brute Force,6,720,26.7607
Brute Force,7,5040,33.3286
Brute Force,8,40320,41.7949
Brute Force,9,362880,41.9767
Brute Force,10,3628800,42.8952
