Type, Number of Nodes, Number of Permutations, Minimum Distance
Tabu,4,45000,15.1013
Tabu,5,80000,21.1242
Tabu,6,125000,23.5814
Tabu,7,180000,33.0181
Tabu,8,245000,38.8211
Tabu,9,320000,38.7952
Tabu,10,405000,42.5724
Tabu,11,500000,44.8067
Tabu,12,605000,48.7505
Tabu,13,720000,50.3926
Tabu,14,845000,64.7372
Tabu,15,980000,59.3949
