Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,2,11,10,2->1->5->6->7->3->4->8->12->11,22,16,Matrix
DFS Recursive,0,5,8,14,5->1->2->6->10->9->13->14->15->11->7->3->4->8,24,16,Adjacency List
DFS Recursive,0,8,5,6,8->4->3->2->1->5,23,16,Adjacency List
DFS Recursive,0,5,8,6,5->1->2->3->4->8,22,16,Matrix
DFS Recursive,0,8,5,6,8->4->3->2->1->5,21,16,Matrix
DFS Recursive,0,13,16,16,13->9->5->1->2->6->10->14->15->11->7->3->4->8->12->16,27,16,Adjacency List
DFS Recursive,0,16,13,4,16->15->14->13,24,16,Adjacency List
DFS Recursive,0,13,16,14,13->9->5->1->2->3->4->8->7->6->10->11->12->16,22,16,Matrix
DFS Recursive,0,16,13,14,16->12->8->4->3->2->1->5->6->7->11->10->9->13,22,16,Matrix
DFS Recursive,0,1,14,7,1->2->6->5->9->10->14,24,16,Adjacency List
DFS Recursive,0,14,1,5,14->13->9->5->1,25,16,Adjacency List
DFS Recursive,0,1,14,15,1->2->3->4->8->7->6->5->9->10->11->12->16->15->14,19,16,Matrix
DFS Recursive,0,14,1,5,14->10->6->2->1,23,16,Matrix
DFS Recursive,0,9,5,2,9->5,24,16,Adjacency List
DFS Recursive,0,5,9,6,5->1->2->6->10->9,25,16,Adjacency List
DFS Recursive,0,9,5,2,9->5,21,16,Matrix
DFS Recursive,0,5,9,10,5->1->2->3->4->8->7->6->10->9,19,16,Matrix
DFS Recursive,0,12,7,15,12->8->4->3->2->1->5->6->10->9->13->14->15->11->7,22,16,Adjacency List
DFS Recursive,0,7,12,13,7->3->2->1->5->6->10->9->13->14->15->11->12,21,16,Adjacency List
DFS Recursive,0,12,7,9,12->8->4->3->2->1->5->6->7,21,16,Matrix
DFS Recursive,0,7,12,13,7->3->2->1->5->6->10->9->13->14->15->11->12,21,16,Matrix
DFS Recursive,0,5,14,8,5->1->2->6->10->9->13->14,24,16,Adjacency List
DFS Recursive,0,14,5,4,14->13->9->5,25,16,Adjacency List
DFS Recursive,0,5,14,12,5->1->2->3->4->8->7->6->10->9->13->14,20,16,Matrix
DFS Recursive,0,14,5,6,14->10->6->2->1->5,23,16,Matrix
DFS Recursive,999,9,3,12,9->5->1->2->6->10->14->13->15->11->7->3,26,16,Adjacency List
DFS Recursive,0,3,9,7,3->2->1->5->6->10->9,23,16,Adjacency List
DFS Recursive,0,9,3,5,9->5->1->2->3,21,16,Matrix
DFS Recursive,0,3,9,12,3->2->1->5->6->7->8->4->12->11->10->9,19,16,Matrix
DFS Recursive,0,14,4,12,14->13->9->5->1->2->6->10->11->7->3->4,24,16,Adjacency List
DFS Recursive,0,4,14,10,4->3->2->1->5->6->10->9->13->14,21,16,Adjacency List
DFS Recursive,0,14,4,10,14->10->6->2->1->5->9->13->3->4,24,16,Matrix
DFS Recursive,0,4,14,14,4->3->2->1->5->6->7->8->12->11->10->9->13->14,19,16,Matrix
DFS Recursive,0,16,1,7,16->15->14->13->9->5->1,23,16,Adjacency List
DFS Recursive,0,1,16,16,1->2->6->5->9->10->14->13->15->11->7->3->4->8->12->16,24,16,Adjacency List
DFS Recursive,0,16,1,7,16->12->8->4->3->2->1,22,16,Matrix
DFS Recursive,0,1,16,13,1->2->3->4->8->7->6->5->9->10->11->12->16,19,16,Matrix
DFS Recursive,0,13,14,8,13->9->5->1->2->6->10->14,26,16,Adjacency List
DFS Recursive,0,14,13,2,14->13,26,16,Adjacency List
DFS Recursive,0,13,14,16,13->9->5->1->2->3->4->8->7->6->10->11->12->16->15->14,21,16,Matrix
DFS Recursive,0,14,13,8,14->10->6->2->1->5->9->13,24,16,Matrix
DFS Recursive,0,12,14,12,12->8->4->3->2->1->5->6->10->9->13->14,22,16,Adjacency List
DFS Recursive,0,14,12,14,14->13->9->5->1->2->6->10->11->7->3->4->8->12,25,16,Adjacency List
DFS Recursive,0,12,14,14,12->8->4->3->2->1->5->6->7->11->10->9->13->14,21,16,Matrix
DFS Recursive,0,14,12,14,14->10->6->2->1->5->9->13->3->4->8->7->11->12,24,16,Matrix
DFS Recursive,0,9,6,5,9->5->1->2->6,24,16,Adjacency List
DFS Recursive,0,6,9,5,6->2->1->5->9,24,16,Adjacency List
DFS Recursive,0,9,6,9,9->5->1->2->3->4->8->7->6,21,16,Matrix
DFS Recursive,0,6,9,5,6->2->1->5->9,22,16,Matrix
